nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
,,0.47695264,,,,0.5881937,,,,,,,,,,
,,0.46751404,0.48533314,,,,,,,,,,,,,
,,0.46643883,0.4827441,,,,,,,,,,,,,
,,0.46627676,0.48283538,,0.58006203,0.5841335,,,,,,,,,,
,,,0.482754,,0.57978666,0.582943,,,,,,,,,,
,,,0.48206764,,0.5795599,0.5816206,,,,,,,,,,
,,,0.48171693,,0.57980704,,,,,,,,,,,
,,,0.4819429,,,,,,,,,,,,,
,,,0.4828465,,,0.5837871,,,,,,,,,,
,,,0.4828609,,,,,,,,,,,,,
,,,,,,0.5842766,,,,,,,,,,
,,,0.4828063,,,0.5843878,,,,,,,,,,
,,,0.48254272,,0.57874566,0.58185416,,,,,,,,,,
,,0.4654318,0.48317784,,,0.5845613,,,,,,,,,,
,,0.46686697,0.48427844,,,0.58573353,,,,,,,,,,
,,0.4667831,0.4842819,,,0.58494455,,,,,,,,,,
,,0.46710992,0.48466668,,,0.5870702,,,,,,,,,,
,,0.46818995,0.48442888,,,0.58607996,,,,,,,,,,
,,0.46796224,0.48460454,,0.58594984,0.58586735,,,,,,,,,,
,,0.46535808,0.48380563,,,,,,,,,,,,,
,,0.46693152,0.48507327,,,,,,,,,,,,,
,,0.4701823,,,0.57863057,0.57880265,,,,,,,,,,
,0.46889946,0.46965975,0.4861022,,,,,,,,,,,,,
,,0.4679966,,,,,,0.71513605,,,,,,,,
,,0.46853885,0.48661637,,,,,,,,,,,,,
,,0.46715558,0.4866858,,,,,0.7146823,,,,,,,,
,,,0.48494226,,,,,0.7122601,,,,,,,,
,0.4692248,0.47002816,0.48714206,,,,,,,,,,,,,
,,0.47010732,,,0.57999396,,,,,,,,,,,
,0.4702775,0.47022995,,,,,,,,,,,,,,
,0.47014046,0.4705971,,,,0.5786847,,0.7143547,,,,,,,,
,,0.46900856,,,,,,,,,,,,,,
,,0.46781966,,,,,,,,,,,,,,
