nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
,,,,,0.5564213,0.56695217,,,,,,,,,,
,,,,,0.5531882,0.5664912,,0.7159168,,,,,,,,
,,,,,0.5546394,0.56667066,,0.7127301,,,,,,,,
,,,,,0.55421305,0.563862,,,,,,,,,,
,,,,,0.5563223,0.56520873,,,,,,,,,,
,,,,,0.55746657,0.56623095,,,,,,,,,,
,,,,,0.5577736,,0.7207207,,,,,,,,,
,,,,,0.5569948,0.5663289,0.7216456,0.71342456,,,,,,,,
,,,,,,0.56858945,,0.7132745,,,,,,,,
,,,,,,0.5667188,,0.7148513,,,,,,,,
,,,,,,0.56822634,,,,,,,,,,
,,,,,0.555714,,,,,,,,,,,
,,,,,0.554093,0.5662884,,,,,,,,,,
,,,,,0.55359393,0.56548595,,0.71070313,,,,,,,,
,,,,,0.5535675,0.56559545,,,,,,,,,,
,,,,,0.5570584,0.5668816,,,,,,,,,,
,0.43913293,,,,0.55515087,0.56667775,,,,,,,,,,
,0.43890724,,,,0.55435973,0.56644285,,0.71393466,,,,,,,,
,,,,,0.55422014,0.5663912,,0.71568215,,,,,,,,
,0.43840277,0.43926895,,,0.55435735,0.56520903,,0.71391535,,,,,,,,
,0.43773043,0.43816996,,,0.55358875,0.5673626,,,,,,,,,,
,0.43780452,,,,0.553412,0.56617594,,,,,,,,,,
,,,,,0.5524525,0.56491184,,0.7127229,,,,,,,,
,,,,,0.55327404,0.5657743,,,,,,,,,,
,,,,,0.5551913,0.5630921,,,,,,,,,,
,,,,,0.5540262,0.5635446,,,,,,,,,,
,,,,0.4492068,0.5506632,0.5610264,,,,,,,,,,
,0.43012995,0.43112308,,,0.5530693,0.56012607,,,,,,,,,,
,0.42956084,0.4318659,,,0.5501728,0.56016946,,,,,,,,,,
,0.43070504,0.43194968,,,,0.5629287,,,,,,,,,,
,,,,,,,,0.7128359,,,,,,,,
,,,,,,0.5683141,,0.71337813,,,,,,,,
,,,0.4687283,0.46688706,0.5792689,,,,,,,,,,,
,,,,0.4914927,0.6093928,0.601987,,,,,,,,,,
,,,,,0.6424822,0.63241506,,,,,,,,,,
,,,,,0.633217,0.63605285,,0.77238715,,,,,,,,
,0.48986036,,,,0.60579455,0.60619915,0.7578494,0.7520527,,,,,,,,
,,0.39182517,,,0.5227568,0.526979,,,,,,,,,,
,,,0.340177,0.34139282,0.43907714,0.4389648,0.59295195,0.59349316,,0.73335683,0.7399239,0.74161136,,,,
,,,,0.28432167,0.38327527,0.39861417,,0.5478848,,,0.6978079,0.70127165,,,,
,,,,,,0.38016397,,0.5275,,0.6472469,0.655891,0.6562054,,,,
,,0.23496076,,,0.3638925,0.36731565,,0.5273271,,,0.65273994,0.6546326,,,,
,0.2576655,0.2612866,0.2750939,,0.38317475,0.392345,0.543414,0.5537955,,0.68906796,0.714566,,,,,
0.2929825,0.2742189,0.27394035,,,0.40518627,0.40758818,0.56895953,0.58125293,,0.7316953,0.72854125,0.7283673,,,,
,,,,0.3425364,,0.4824806,0.6755068,0.66140074,,,,0.78398025,,,,
0.4191606,0.3981006,0.40128395,,,0.5487829,0.56137055,,0.7365812,,,,,,,,
0.44181535,0.42265758,0.42562383,,,0.5619837,0.5679469,,0.74045336,,,,,,,,
0.42095384,0.4009726,0.40337294,,,,0.5549221,0.71202517,0.7290976,,,,,,,,
0.40632886,0.38564667,0.38876033,0.40229726,,0.5246663,0.5477408,0.7008991,0.7318277,,,,,,,,
0.3825992,0.36135262,0.36349186,0.3794992,0.3833481,0.49787232,0.5205849,,0.7126114,,,,,,,,
,,,0.36571968,0.36789554,0.48812255,0.5054778,0.6802076,0.70966953,,,,,,,,
0.36434907,,0.34154248,0.36061954,0.36192834,0.48841947,0.5046054,0.68449515,0.70580566,,,,,,,,
0.36550248,0.34012768,0.34075356,0.36006492,0.36049944,0.48873445,0.50726223,0.6847157,0.70953965,,,,,,,,
,0.32396406,,0.34087026,0.34086472,0.48258922,0.48449302,0.6834632,0.7007856,,,,,,,,
,0.30286556,0.304801,0.32309592,,0.4693792,0.46908182,0.6891376,0.68824834,,,,,,,,
,0.29390338,0.29630643,,0.3186701,0.46619278,0.4685046,0.68871945,0.6862457,,,,,,,,
,0.2803194,0.27929005,0.3030194,0.30057812,0.46394393,0.44141003,0.7053962,0.6887438,,,,,,,,
0.30435583,0.26759544,,,0.2844229,0.46961722,0.42565632,0.7319906,0.68368685,,,,,,,,
,0.25041682,,0.2732334,0.27702516,0.47404918,0.42244983,0.7321169,0.6825465,,,,,,,,
0.27548957,,,,,0.4694227,0.43664342,0.73124695,0.6952485,,,,,,,,
0.26663446,,,,,0.45813477,0.4430717,0.7175261,0.68482894,,,,,,,,
,,,,,0.4464508,0.43001372,0.7330932,,,,,,,,,
,,,,,0.43564337,0.4077146,0.7314796,0.6886642,,,,,,,,
,,,,,0.40589654,0.37567708,0.74122906,0.6978156,,,,,,,,
,,,,,0.393375,,,,,,,,,,,
