nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
,,,,,0.2953692,0.304597,0.42886055,0.43447185,0.54022443,0.5399728,0.5353484,0.5330196,0.72692144,0.72200155,,
,,,,,0.29586735,0.30760294,0.43194497,0.43973058,0.5435163,0.54668885,0.5417253,0.5379046,0.7279246,0.72779965,,
,,,,,0.29663816,0.30466795,0.42970023,0.438616,0.5439669,0.54168797,0.5402369,0.53916264,0.7256195,0.7253618,,
,,,,,0.29623392,0.30669388,0.43159145,0.43994138,0.54241323,0.5452285,0.5390611,0.5361176,0.72706383,0.72702837,,
,,,,,0.29515114,0.29526895,0.42667788,0.43659753,0.53834224,0.54284227,0.5383675,0.5370344,0.724887,0.72265977,,
,,,,,0.2965768,0.30502522,0.42981908,0.43896568,0.5451942,0.54418683,0.54041135,0.5388669,0.7265267,0.72484374,,
,,,,,0.2967003,0.30321047,0.42926157,0.43547946,0.545452,0.5432982,0.53915757,0.53749937,0.7261523,0.7262665,,
,,,,,0.29507518,0.3040124,0.42944545,0.43212485,0.5451673,0.54100287,0.53908896,0.5389489,0.7263291,0.7256367,,
,,,,,0.29615754,0.3063527,0.43280837,0.43907687,,0.5416246,0.5404396,0.53947777,0.72919214,0.72785825,,
,,,,,0.29671076,0.3067427,0.43341956,0.4405168,0.54221666,0.54573184,0.5417599,0.5393064,0.7268301,0.7257337,,
,,,,,0.29606473,0.30480325,0.43402642,0.44055685,0.5420394,0.5492563,0.5413114,0.5385479,0.7271938,0.7244828,,
,,,,,0.2958132,0.30251998,0.4331255,0.43928236,0.5473871,0.5479995,0.5414928,0.5387252,0.7264097,0.72614515,,
,,,,,0.2965324,0.30371335,0.4320367,0.43995917,0.5456877,0.5459945,0.53959227,0.53940505,0.7240164,0.7209116,,
,,,,,0.2955495,,0.43275386,0.4376307,,0.54549646,0.5399976,0.5373349,0.7264533,0.7258918,,
,,,,,0.29681575,0.30489597,0.4338566,0.44087753,0.5412077,0.5493975,0.5401203,0.5384177,0.72638714,0.725497,,
,,,,,0.2959539,0.30151615,0.43138084,0.43434066,0.5457637,0.54388785,0.53905165,0.53895557,0.7266067,0.7243302,,
,,,,,0.2967349,0.30492535,0.43298697,0.43804395,0.5441533,0.5463054,0.54016924,0.53786165,0.72805536,0.7262606,,
,,,,,0.29653978,0.30426443,0.43307862,0.43991613,0.5448942,0.54526174,0.53882873,0.53948355,0.72856206,0.7280562,,
