nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
,,,,,0.3580488,0.36138064,,,,,0.5929871,0.5933889,0.77140874,0.7712655,,
,,,0.2645437,,0.3527075,0.35902596,,0.47895312,,0.5738398,,0.59108055,0.76101947,0.761374,,
,,,0.24177712,,,,,0.45736486,,0.55388606,0.56176805,,0.74573195,0.74691474,,
,,,,,0.3216648,,,,,,0.55207825,,,0.74161184,,
,,,,,0.32154977,,,0.44618794,,,0.5470905,,,0.73991823,,
,,,,,,,,,,,0.5524389,,,0.7447134,,
,,,,,,,,,,,,,0.7436495,0.7475798,,
,,,0.24235992,,,,,,,,0.561368,,0.74693435,0.7478599,,
,0.22141615,,0.23610216,,0.32673973,0.32250538,,0.44525313,,,,,0.7474717,0.7468769,,
,,,,,0.3256646,,,,,,0.5545036,,,0.74731916,,
,,,,,0.32252428,,0.44735023,,,,0.55583936,0.5510358,,0.7476482,,
,,,,,0.32074764,,,0.44403607,,,0.5587796,0.55269104,0.7489192,0.7460767,,
,,,,,,,,0.44309446,,0.5555661,0.55563545,0.55151486,0.74642384,0.74449843,,
,,,,,0.31654108,,,0.44140965,,,0.55321896,0.54974604,0.7400145,0.7389342,,
,,,,,0.3075807,,,0.4330861,,0.5465768,0.54885393,0.54554915,0.74153113,0.73883414,,
,,,,,0.30406183,,,0.42706025,,,,,0.73211884,0.7300266,,
,,,,,0.30305693,,0.44235915,,,,,0.53670996,0.72972316,0.72599065,,
,,,,,,,0.4447026,0.4319157,,,0.54553485,,0.73144114,0.72940075,,
,,,,,,,,0.43635663,,0.55653095,0.5462252,0.54350525,0.73414105,0.73476017,,
,,,,,,,,0.4384241,,0.5539881,,,0.7387333,,,
,,,,,,,,0.4410063,,0.5566251,,0.54315025,,0.73183525,,
,,,,,0.30807272,,0.43776998,0.43749866,,0.55668485,0.54480386,0.54494464,0.7369656,0.7346081,,
,,,,,0.3111801,,0.44049805,0.4374969,,0.5597854,0.5507841,0.54942787,,0.731738,,
,,,,,,,,,,,0.55209756,0.5513704,,0.7389511,,
,,,,,,,,0.44609475,,,0.5528267,0.5523959,,0.7360053,,
