nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,real_time
0.41893572,0.39326742,0.39518684,,0.3893975,0.5309745,0.5385509,0.7413883,0.7454886,0.9473749,0.95571923,0.9636146,0.96713895,,,,,0.06656909
0.39668185,0.36834484,0.3728565,0.38189608,0.38660786,0.5387433,0.5428715,0.7556647,0.74859536,0.9518159,0.9344828,0.965147,0.9646601,,,,,0.06525898
0.3982191,0.36919254,0.37428597,0.383021,0.3843206,0.5368941,0.5439479,0.75368816,0.7524433,0.94889957,0.9375218,0.97267044,0.9748279,,,,,0.042279959
0.4017439,0.373821,0.37951076,0.38483906,0.38935205,0.5375192,0.54310036,0.75230366,0.7513718,0.9508904,0.94082,0.9665549,0.96920085,,,,,0.035902262
0.3968332,0.36886704,0.37324348,0.38195202,0.38809285,0.5392079,0.5436538,0.75320613,0.7520339,0.94973034,0.9326827,0.965701,0.9698778,,,,,0.042186022
0.39714336,0.3694473,0.37409693,0.37895387,0.38366625,0.5318695,0.53985244,0.7567143,0.75564617,0.9555701,0.9420297,0.9672797,0.969827,,,,,0.026085854
0.3937119,0.3670078,0.37132972,0.3805115,0.38534567,0.5420051,0.5456914,0.7709573,0.7586562,0.96103543,0.941942,0.97327805,0.9732289,,,,,0.058707952
0.39670625,0.36745664,0.37267843,0.37806928,0.38550436,0.53170884,0.5398572,0.75616676,0.74624515,0.95696366,0.9303563,0.96994865,0.9721458,,,,,0.03602314
0.3972206,0.3699385,0.37529027,0.37942368,0.38665214,0.5337707,0.5407575,0.7467711,0.7490819,0.9474714,0.93181825,0.97063935,0.97308254,,,,,0.064694166
0.39697477,0.3683939,0.37271854,0.377119,0.38217607,0.5326139,0.5349849,0.7503198,0.7477248,0.9524288,0.936537,0.97248566,0.974891,,,,,0.036928177
,0.36565602,0.3693396,0.37627602,0.38258737,0.5336821,0.53626525,0.74862397,0.74863625,0.95179695,0.9351437,0.9702952,0.9731742,,,,,0.04911375
,0.3634867,0.36625004,0.37623549,0.38216373,0.532387,0.5371969,0.753258,0.7524146,0.95274895,0.9366847,0.96593803,0.9703364,,,,,0.02905798
,0.36636978,0.36978567,0.3782276,0.3841016,0.5316304,0.5376241,0.7432889,0.74833256,0.9507334,0.93492997,0.9648796,0.9669995,,,,,0.044650078
0.39433807,0.36571524,0.3699238,0.37808117,0.38375276,0.5348704,0.5387976,0.7483597,0.74842113,0.95112884,,0.9627815,0.9651292,,,,,0.047374964
0.39554125,0.36657777,0.37152475,0.37752375,0.3837757,0.53180724,0.5376177,0.7437112,0.7454033,0.9507673,0.9291882,0.9607652,0.9622014,,,,,0.038897991
0.3966166,0.36851066,0.37217346,0.3791489,0.3829021,0.5355599,0.5378907,0.7476646,0.7429378,0.9523784,0.92984605,0.96044666,0.9624176,,,,,0.025857925
0.39592564,0.3681672,0.37183625,0.37868896,0.38091633,0.5356426,0.536456,0.74300724,0.7403664,0.947496,0.9237721,0.9582641,0.9590454,,,,,0.054671764
,0.3671484,0.36971378,0.3765,0.38004678,0.53310996,0.536387,0.7477875,0.7380155,0.94865334,0.92206055,0.9614574,0.96203506,,,,,0.039414167
,0.36668238,0.36976963,0.3771459,0.38141918,0.53484654,0.5390734,0.74516773,0.7449706,0.950302,0.9246341,0.9623371,0.963362,,,,,0.056440115
,0.36963326,0.3717235,0.37858853,0.38341305,0.5333636,0.5422431,0.74745464,0.7529485,0.95008206,0.9355171,0.96160156,0.962927,,,,,0.044409037
0.3990194,0.37253863,0.3742417,0.38226122,0.38270918,0.535944,0.5416899,0.7518637,0.75395095,0.9523032,0.9354774,0.9649229,0.967126,,,,,0.043919086
,0.36885595,0.36874643,0.378703,0.38084254,0.5332884,0.53876495,0.74672097,0.75112385,0.9508085,0.9362796,0.96329486,0.9640117,,,,,0.032824039
,0.3710009,0.37279108,0.38200346,0.38312715,0.5363572,0.5389519,0.7478677,0.7495631,0.9466733,0.928659,0.9579691,0.96520394,,,,,0.046833992
,0.36514622,0.3659031,0.37929487,0.3821631,0.5374696,0.5436361,0.74469715,0.7535166,0.9458985,0.9268019,0.96111244,0.9680213,,,,,0.037783146
,0.37093437,0.37319958,0.3817469,0.3849198,0.5358684,0.54081154,0.74602574,0.747253,0.9448522,0.9248368,0.9599656,0.9606168,,,,,0.066498995
,0.36728537,0.3666632,0.38072893,0.38230807,0.5398551,0.5421861,0.7490138,0.7467075,0.94632804,0.9204054,0.96375424,0.9630932,,,,,0.042482853
,0.3688426,0.37008634,0.37918323,0.38257462,0.5356203,0.53804123,0.74142444,0.7353645,0.94403744,0.91880417,0.9596814,0.95996135,,,,,0.039833069
,0.36764225,0.36728847,0.37875727,0.38167036,0.5362083,0.5387031,0.74554944,0.74086165,0.94747925,,0.9607419,0.9603996,,,,,0.026988983
,0.36466232,0.36494127,0.3772918,0.37922826,0.5376061,0.5388902,0.7440694,0.73621815,0.94745284,0.92700523,0.9611807,0.96254474,,,,,0.048364878
,0.36479202,0.3646138,0.3784843,0.37845817,0.53670955,0.5356176,0.75142086,0.7344701,0.94944805,0.9330459,0.9713169,0.9706752,,,,,0.047109127
0.3946621,0.36887562,0.37274313,0.38300037,0.38687208,0.54085964,0.54243034,0.7437903,0.7448151,0.9490206,0.9346944,0.97251445,0.97343564,,,,,0.060530901
,0.36804336,0.36935377,0.3884989,,0.55309296,0.55035615,0.7650446,0.7478146,0.9616605,,0.97042614,0.970317,,,,,0.040040255
,0.3994003,0.39805984,0.41416755,0.41194656,0.5715673,0.5753404,0.7993998,0.78331715,,0.9579928,0.9783092,0.97607887,,,,,0.043293953
0.43972266,0.41905478,0.4160961,0.4419998,0.4368994,0.61741894,0.61323863,0.8372424,0.82060814,,,1.0051506,1.0072024,,,,,0.047724724
0.4552036,0.43443933,0.43327916,0.46111667,0.46126187,0.64085853,0.6337997,,0.8500697,,,,,,,,,0.032555103
,0.4436068,0.4423194,0.47040272,0.47225755,0.648216,0.6443878,0.8702171,0.8461759,,,1.0245906,,,,,,0.046474934
0.41527954,0.39517102,0.39299238,0.42016634,0.42242172,0.5965285,0.5940433,0.8176206,0.7995227,,,0.9878981,0.98404014,,,,,0.040519953
0.33121586,0.30556652,0.31077528,0.3195821,0.31732506,0.45362738,0.44795597,0.6382764,0.63154006,0.83527035,0.82636195,0.8667135,0.86290145,,,,,0.043040037
0.2633738,0.24484274,0.24383694,0.2619885,0.2617017,0.39680767,0.40157637,0.58655494,,0.76597226,0.81070983,0.80269367,0.8043123,,,,,0.024187803
0.23929866,0.21486558,0.21607774,0.22307438,0.2264363,0.3536245,0.36222446,0.5255834,0.5517396,0.6853702,0.7342401,0.74926525,0.75478256,0.9854269,0.9889503,,,0.025781155
0.16769208,0.14397997,0.14643945,0.16084269,0.16610676,0.3030787,0.31221962,0.48258168,0.5085129,0.64864093,0.67953724,0.6797782,0.6841775,0.95185256,0.9549652,,,0.038397789
0.12969011,0.103210606,0.10771497,0.12700707,0.1373541,0.28380468,0.29020712,0.46680915,0.48557365,0.64071316,0.6751867,0.6560857,0.66637176,0.9535726,0.95597184,,,0.047639132
