nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,real_time
0.37363937,0.34417418,0.3507694,0.35878474,0.35991362,0.51896435,0.51257336,0.7506046,0.7415569,0.95706624,0.9542994,0.97519326,0.97747844,,,,,0.105208158
0.36797857,0.33795324,0.34689957,0.35082832,0.35867003,0.5125506,0.4981772,0.76861316,0.7370685,,0.929929,0.9805009,0.96724343,,,,,0.053812027
0.36420944,0.33496577,0.34269476,0.35158792,0.36090103,0.51647186,0.5086693,0.77145916,0.75557286,,0.93980515,0.98335904,0.98484623,,,,,0.046373844
0.36555707,0.3372774,0.3441071,0.3532973,0.3599588,0.5160656,0.50586975,0.7683758,0.7480972,0.97237504,0.9371039,0.98215514,0.9743008,,,,,0.038097858
0.3659666,0.33733886,0.34467098,0.35350174,0.36165842,0.51770073,0.5102761,0.7700653,0.7484989,0.9748268,0.9365297,0.98079765,0.9727422,,,,,0.058256149
0.36434805,0.33524996,0.34213606,0.35301483,0.36087644,0.5149234,0.50744504,0.7726074,0.74901897,,0.94175977,0.98096824,0.97146076,,,,,0.045878649
0.36750105,0.33754888,0.34366757,0.35434547,0.35938656,0.51579285,0.50771755,0.76806504,0.7468196,0.96727395,0.939017,0.9828042,0.97458756,,,,,0.040180922
0.3648102,0.3356338,0.34122932,0.35258946,0.3563173,0.5124004,0.50222385,0.7665901,0.73822147,0.9684211,0.933717,0.9792336,0.96905464,,,,,0.023506165
0.36206007,0.3339497,0.3385719,0.3520168,0.35798538,0.51269615,0.5075641,0.76820946,0.75545514,0.97098225,0.942009,0.9830087,0.97842187,,,,,0.048220873
0.36394447,0.33450052,0.3382454,0.35216066,0.35500082,0.515486,0.5064286,0.76809096,0.7488929,0.9673354,0.9378842,0.975779,0.9767166,,,,,0.034824848
0.36217105,0.3330828,0.33760485,0.35260624,0.3576677,0.51737225,0.5114896,0.76767033,0.75258434,0.967544,0.93765,0.97545135,0.97896194,,,,,0.056723833
0.36096138,0.33217865,0.33598253,0.3520723,0.3578509,0.51906383,0.51085144,0.77091694,0.7536441,0.9721072,0.9343641,0.9808552,0.98257184,,,,,0.053771019
0.36292458,0.3337525,0.3384888,0.3509409,0.35509443,0.51788455,0.5061595,0.77235836,0.741294,0.9710791,0.9316078,0.9784529,0.98228264,,,,,0.040942192
0.36405176,0.3349425,0.33913735,0.35346636,0.35407174,0.5184841,0.50693536,0.7707371,0.73976773,0.97394085,0.93403274,0.98127747,0.9768256,,,,,0.054342985
0.3631125,0.33427355,0.33788723,0.35353798,0.3567517,0.5202677,0.51228076,0.7711799,0.7446984,0.9706339,0.93655384,0.9837976,0.98190266,,,,,0.041793823
0.36555922,0.33601776,0.33972466,0.35340044,0.3548308,0.51875496,0.51005566,0.7626866,0.73720497,0.9688604,0.9307128,0.9798279,0.9785103,,,,,0.049114227
0.3657561,0.33620834,0.33977672,0.35246766,0.3544621,0.52003455,0.5090387,0.76556426,0.73493123,0.97018707,0.9289359,0.9787848,0.98328006,,,,,0.025876284
0.36609438,0.3363937,0.340137,0.35368764,0.35492933,0.519322,0.5095609,0.7641291,0.7369549,0.96847045,0.9375839,0.97922504,0.98459655,,,,,0.048066139
0.36335522,0.3341783,0.33758795,0.35291207,0.35698095,0.5169273,0.5132634,0.75467026,0.7384032,0.95752335,0.9348619,0.98055005,0.9808922,,,,,0.045008898
0.36575496,0.33536094,0.34023067,0.35372978,0.35707992,0.5190716,0.5152059,0.7591346,0.7391403,0.9677131,0.9324382,0.9844618,0.982799,,,,,0.056033134
0.36638302,0.33544874,0.33930716,0.35312134,0.35385302,0.5149999,0.5073948,0.74774337,0.7304094,0.94861346,0.9292751,0.9768115,0.9777294,,,,,0.041237116
0.3707996,0.3385509,0.3445331,0.35104874,0.3514565,0.5133336,0.5011602,0.7445846,0.7259331,0.96137565,0.93432385,0.9687372,0.9754053,,,,,0.063965797
0.36694437,0.338179,0.3407143,0.35843462,0.35551915,0.5159401,0.51536775,0.74692273,0.7350453,0.9506742,0.9346945,0.9792926,0.98550075,,,,,0.046450138
0.36852753,0.34084356,0.34331185,0.3632952,0.35982957,0.53926426,0.5203886,0.77736706,0.74014884,,0.93484265,0.99144363,0.9900749,,,,,0.041697025
0.40263617,0.38021544,0.37716734,0.40700498,0.39598677,0.5850085,0.5637313,0.8170022,0.7780766,,0.94571346,0.9998673,0.99504364,,,,,0.059073687
0.4800501,0.4546489,0.45369652,0.4761699,0.4653669,0.6591661,0.6467866,0.8907216,0.87908673,,,,1.0418112,,,,,0.039870977
0.56054795,0.536886,0.5351425,0.56826484,0.55785424,0.74236935,0.7353137,0.96357375,0.97208226,,,,,,,,,0.046005011
0.6430788,0.6137016,0.6088994,0.64640576,0.6345378,0.83145183,0.83513844,,,,,,,,,,,0.061184168
0.69887435,0.66934586,0.6615489,0.70300126,0.6897252,0.90473914,0.8913943,,,,,,,,,,,0.047328949
0.70618033,0.6797928,0.6770547,0.7150744,0.7109158,0.916097,0.92210305,,,,,,,,,,,0.045006037
0.68416446,0.6542222,0.645696,0.6912448,0.6804439,0.8767732,0.8892321,,,,,,,,,,,0.04399085
0.6247689,0.60080177,0.5906904,0.6331828,0.61303735,0.8028288,0.8037033,,,,,,,,,,,0.059783936
0.54434204,0.5236089,0.5165103,0.5431697,0.5315326,0.7011445,0.6947986,0.91672164,0.91527164,,,,,,,,,0.038084745
0.43297428,0.4135078,0.40949452,0.45010436,0.43504682,0.6179311,0.6131378,0.84466076,0.8312822,,0.9324241,1.0205381,,,,,,0.044615984
0.40413666,0.38692215,0.38443434,0.41913128,0.41012758,0.5815423,0.57187545,0.80247486,0.7678581,,0.8987844,0.99417007,0.99478596,,,,,0.019164801
0.38268483,0.35627714,0.35786152,0.3805442,0.37611213,0.5463919,0.5408338,0.771701,0.73398757,0.9480204,0.89804757,0.96526825,0.97003293,,,,,0.018817663
0.34580994,0.3221069,0.32191673,0.348623,0.3418986,0.50706834,0.49903584,0.7353024,0.7106435,0.9337256,0.8958608,0.9662694,0.9587129,,,,,0.053728104
